displacement_snl_sim,force_snl_sim,displacement_snl_exp_1,force_snl_exp_1,displacement_snl_exp_2,force_snl_exp_2,displacement_snl_exp_3,force_snl_exp_3,force_snl_exp_3
inch,lbf,inch,lbf,inch,lbf,inch,lbf,lbf
,,0.064993307,5397.069878,0.072569943,6365.601912,0.095820603,7287.718244,7287.718244
,,0.067064842,5461.034813,0.07340699,6430.704912,0.097496098,7395.170172,7395.170172
,,0.06908388,5516.253859,0.074233064,6464.242297,0.09926133,7509.716296,7509.716296
,,0.071014861,5566.919469,0.075281354,6528.873697,0.101072416,7633.619036,7633.619036
,,0.073040308,5619.934915,0.076241336,6644.389383,0.102962243,7762.387005,7762.387005
,,0.075102452,5697.592266,0.077454121,6718.282424,0.104830751,7900.346005,7900.346005
,,0.077361395,5793.39842,0.07875827,6833.250462,0.106533738,8025.694816,8025.694816
,,0.079707015,5919.981666,0.080174149,6977.314545,0.108158192,8146.201243,8146.201243
,,0.08218361,6034.240793,0.081876565,7058.771013,0.109732231,8275.135241,8275.135241
,,0.084182471,6167.295769,0.083523732,7208.793102,0.111278929,8388.803605,8388.803605
,,0.086299857,6288.406155,0.085316249,7341.422609,0.112795076,8533.567322,8533.567322
,,0.088521765,6405.001636,0.087209292,7420.099609,0.114301729,8661.970503,8661.970503
,,0.090786933,6530.613656,0.089102312,7478.959626,0.115826694,8764.516009,8764.516009
,,0.092917475,6641.288876,0.090641725,7463.037502,0.117427753,8894.328461,8894.328461
,,0.094744901,6795.035388,0.092113988,7413.737502,0.11925326,9034.73134,9034.73134
,,0.096380144,6941.645325,0.093329903,7383.621502,0.120980159,9206.182283,9206.182283
,,0.097774029,7093.903325,0.09429777,7318.913464,0.12266774,9345.045283,9345.045283
